Category: All categories

Month,rebecca black: (Worldwide)
2012-01,95
2012-02,66
2012-03,57
2012-04,52
2012-05,48
2012-06,42
2012-07,38
2012-08,41
2012-09,32
2012-10,28
2012-11,36
2012-12,33
2013-01,27
2013-02,23
2013-03,30
2013-04,26
2013-05,22
2013-06,24
2013-07,28
2013-08,27
2013-09,21
2013-10,26
2013-11,23
2013-12,100
2014-01,25
2014-02,23
2014-03,21
2014-04,18
2014-05,18
2014-06,19
2014-07,17
2014-08,18
2014-09,14
2014-10,14
2014-11,15
2014-12,15
2015-01,16
2015-02,15
2015-03,15
2015-04,15
2015-05,14
2015-06,12
2015-07,13
2015-08,15
2015-09,14
2015-10,14
2015-11,15
2015-12,14
2016-01,14
2016-02,12
2016-03,12
2016-04,15
2016-05,13
2016-06,12
2016-07,11
2016-08,12
2016-09,16
2016-10,12
2016-11,11
2016-12,12
2017-01,11
2017-02,10
2017-03,12
2017-04,10
2017-05,10
2017-06,10
2017-07,9
2017-08,8
2017-09,9
2017-10,9
2017-11,10
2017-12,9
2018-01,8
2018-02,8
2018-03,9
