Category: All categories

Week,rebecca black: (Worldwide)
2014-01-05,100
2014-01-12,95
2014-01-19,89
2014-01-26,89
2014-02-02,79
2014-02-09,94
2014-02-16,91
2014-02-23,83
2014-03-02,81
2014-03-09,74
2014-03-16,77
2014-03-23,78
2014-03-30,68
2014-04-06,75
2014-04-13,65
2014-04-20,82
2014-04-27,72
2014-05-04,73
2014-05-11,68
2014-05-18,64
2014-05-25,59
2014-06-01,77
2014-06-08,68
2014-06-15,84
2014-06-22,68
2014-06-29,56
2014-07-06,65
2014-07-13,68
2014-07-20,69
2014-07-27,64
2014-08-03,67
2014-08-10,70
2014-08-17,71
2014-08-24,59
2014-08-31,56
2014-09-07,59
2014-09-14,58
2014-09-21,57
2014-09-28,56
2014-10-05,50
2014-10-12,54
2014-10-19,52
2014-10-26,43
2014-11-02,53
2014-11-09,62
2014-11-16,54
2014-11-23,56
2014-11-30,60
2014-12-07,59
2014-12-14,56
2014-12-21,50
2014-12-28,70
2015-01-04,63
2015-01-11,58
2015-01-18,56
2015-01-25,56
2015-02-01,53
2015-02-08,54
2015-02-15,57
2015-02-22,58
2015-03-01,54
2015-03-08,77
2015-03-15,58
2015-03-22,58
2015-03-29,45
2015-04-05,52
2015-04-12,63
2015-04-19,62
2015-04-26,63
2015-05-03,49
2015-05-10,51
2015-05-17,49
2015-05-24,54
2015-05-31,50
2015-06-07,58
2015-06-14,47
2015-06-21,48
2015-06-28,45
2015-07-05,49
2015-07-12,53
2015-07-19,59
2015-07-26,50
2015-08-02,60
2015-08-09,73
2015-08-16,59
2015-08-23,57
2015-08-30,58
2015-09-06,54
2015-09-13,50
2015-09-20,51
2015-09-27,56
2015-10-04,55
2015-10-11,58
2015-10-18,53
2015-10-25,53
2015-11-01,52
2015-11-08,58
2015-11-15,57
2015-11-22,58
2015-11-29,56
2015-12-06,53
2015-12-13,53
2015-12-20,51
2015-12-27,55
2016-01-03,61
2016-01-10,53
2016-01-17,49
2016-01-24,51
2016-01-31,52
2016-02-07,46
2016-02-14,52
2016-02-21,49
2016-02-28,47
2016-03-06,47
2016-03-13,47
2016-03-20,44
2016-03-27,55
2016-04-03,68
2016-04-10,52
2016-04-17,50
2016-04-24,48
2016-05-01,55
2016-05-08,53
2016-05-15,50
2016-05-22,45
2016-05-29,41
2016-06-05,50
2016-06-12,44
2016-06-19,52
2016-06-26,46
2016-07-03,40
2016-07-10,42
2016-07-17,46
2016-07-24,44
2016-07-31,44
2016-08-07,39
2016-08-14,36
2016-08-21,62
2016-08-28,48
2016-09-04,96
2016-09-11,55
2016-09-18,54
2016-09-25,46
2016-10-02,46
2016-10-09,45
2016-10-16,49
2016-10-23,51
2016-10-30,52
2016-11-06,41
2016-11-13,43
2016-11-20,51
2016-11-27,47
2016-12-04,43
2016-12-11,36
2016-12-18,57
2016-12-25,37
2017-01-01,43
2017-01-08,41
2017-01-15,40
2017-01-22,46
2017-01-29,39
2017-02-05,43
2017-02-12,38
2017-02-19,43
2017-02-26,41
2017-03-05,41
2017-03-12,59
2017-03-19,43
2017-03-26,41
2017-04-02,41
2017-04-09,37
2017-04-16,42
2017-04-23,43
2017-04-30,49
2017-05-07,45
2017-05-14,36
2017-05-21,41
2017-05-28,34
2017-06-04,35
2017-06-11,39
2017-06-18,46
2017-06-25,34
2017-07-02,37
2017-07-09,34
2017-07-16,34
2017-07-23,33
2017-07-30,35
2017-08-06,34
2017-08-13,35
2017-08-20,34
2017-08-27,34
2017-09-03,30
2017-09-10,33
2017-09-17,32
2017-09-24,38
2017-10-01,32
2017-10-08,35
2017-10-15,42
2017-10-22,38
2017-10-29,33
2017-11-05,35
2017-11-12,41
2017-11-19,52
2017-11-26,37
2017-12-03,35
2017-12-10,33
2017-12-17,29
2017-12-24,34
2017-12-31,40
2018-01-07,29
2018-01-14,31
2018-01-21,31
2018-01-28,29
2018-02-04,35
2018-02-11,32
2018-02-18,32
2018-02-25,31
2018-03-04,36
2018-03-11,35
